Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Josiah Gray","WSN",6,6,0,17,17,95.1,8.118881227171588,4.059440613585794,1.1328671479774308,0.29056603773584905,0.83756345,0.42599278,0.11650485,93.91196597807588,3.3041958482675065,,4.534760656286391,4.684710630211567,1.3377006609982987,"Josiah Gray",24580,680686
"Jack Flaherty","STL",5,5,0,16,16,86,8.790697966864984,4.8139536485213,0.6279069976332131,0.34893617021276596,0.71856287,0.47083333,0.08955224,93.06588581364329,4.604651315976897,,4.092249689674688,4.473349324616464,1.3297618538033293,"Jack Flaherty",17479,656427
"Bryce Miller","SEA",5,3,0,11,11,59,8.389830779700548,1.8305085337528466,0.9152542668764233,0.24358974358974358,0.64516129,0.33540373,0.08571429,95.00911184457632,3.9661018231311678,,3.424531890400112,4.064101788644029,1.3037791671110124,"Bryce Miller",29837,682243
"Chris Sale","BOS",5,2,0,11,11,59,10.830508649640304,2.288135630205698,1.2203390027763723,0.31543624161073824,0.69444444,0.38064516,0.13114754,94.7628403736337,4.576271260411396,,3.678769179905533,3.6254548907549022,1.3016375051298525,"Chris Sale",10603,519242
"Max Scherzer","NYM",7,2,0,14,14,76.2,9.978261076435029,2.1130435220685944,1.5260869881606514,0.30808080808080807,0.79427083,0.33492823,0.13402062,93.8376516062063,3.873913123792423,,4.063736028436903,3.9512375930588606,1.2958747611225725,"Max Scherzer",3137,453286
"Dustin May","LAD",4,1,0,9,9,48,6.37500025331975,3.0000001192092944,0.1875000074505809,0.208955223880597,0.72368421,0.45185185,0.0212766,97.55320739746094,2.6250001043081324,,3.2342070253358948,4.58228067131302,1.2299632090131671,"Dustin May",19716,669160
"Clarke Schmidt","NYY",3,6,0,17,17,82.1,8.635628063843024,2.8421054387331472,1.2024292240794086,0.3305785123966942,0.71022727,0.43253968,0.11,,4.372469905743303,,4.165971589860259,4.4372490405663365,1.2013503943855046,"Clarke Schmidt",19899,657376
"Anthony DeSclafani","SFG",4,8,0,17,17,93.1,6.942857237446066,1.7357143093615166,1.1571428729076776,0.2892857142857143,0.65173116,0.42857143,0.12631579,93.24118472683814,4.4357143461460975,,4.09075465659706,4.10220197773796,1.1993513173261925,"Anthony DeSclafani",13050,543101
"Logan Allen","CLE",3,2,0,12,12,62.1,9.096257009219608,3.465240765416994,0.8663101913542485,0.3314917127071823,0.79903148,0.44262295,0.09230769,92.07236007011605,3.465240765416994,,3.6881954551741947,4.1609419534426255,1.1982930120814563,"Logan Allen",27589,671106
"Ryne Nelson","ARI",5,4,0,17,17,90.2,6.352941354665794,2.878676551332938,1.0919117953331834,0.3003533568904594,0.70524412,0.36206897,0.09016393,94.47961606626157,4.665441307332693,,4.4131286272746895,5.060653432002504,1.1947887994844866,"Ryne Nelson",26253,669194
"Jon Gray","TEX",6,4,0,15,15,87,7.551724303491621,2.7931035095105994,1.1379310594302443,0.2445414847161572,0.80378251,0.37552743,0.11827957,95.69858934572085,3.2068966220306883,,4.358488659550641,4.4821865141862265,1.1837320188077467,"Jon Gray",14916,592351
"Drew Smyly","CHC",7,5,0,16,16,86.1,7.401544755840234,2.814671949404033,1.3552124200834232,0.2784313725490196,0.74894515,0.33962264,0.10743802,,3.961390151013083,,4.575503743168098,4.935220697390414,1.163295686161193,"Drew Smyly",11760,592767
"Justin Verlander","NYM",3,4,0,11,11,64,7.734375,2.25,1.125,0.2826086956521739,0.74468085,0.41666667,0.10666667,94.64719562861272,3.65625,,3.9581653594970705,4.270686946157366,1.1236433154325332,"Justin Verlander",8700,434378
"Taj Bradley","TBR",5,4,0,11,11,53,12.396226861206157,2.7169812298534044,1.52830194179254,0.3359375,0.67375887,0.35294118,0.17647059,96.21876713267544,4.754717152243458,,3.6701347140580074,3.053548643782752,1.1014486031648418,"Taj Bradley",22543,671737
"Dane Dunning","TEX",5,1,0,10,10,60,6.00000019073487,2.400000076293948,0.7500000238418587,0.27932960893854747,0.79104478,0.47826087,0.09259259,90.08855874197823,3.000000095367435,,3.955040381749472,4.35972363983578,1.0516116407503255,"Dane Dunning",19409,641540
"Matt Strahm","PHI",2,3,0,9,9,32.1,11.412371919441258,2.5051548115846662,0.8350516038615554,0.2894736842105263,0.67073171,0.32911392,0.08108108,93.19074410254802,4.175258019307777,,3.038545499236667,3.7243398215731025,1.006223752538982,"Matt Strahm",13799,621381
"Eury Pérez","MIA",5,2,0,10,10,47.1,10.267605916097208,2.852112754471447,1.1408451017885788,0.2711864406779661,0.87443946,0.30081301,0.10344828,97.54601602500442,2.471831053875254,,3.571941776660564,3.9499925278103545,0.9840132961449923,"Eury Perez",27768,691587
"Rich Hill","PIT",7,7,0,16,16,89,8.089887900509606,3.3370787589602124,1.1123595863200708,0.3103448275862069,0.68100358,0.34944238,0.10784314,88.1843131012488,4.449438345280283,,4.243804436226021,4.531915444396857,0.9771768276719224,"Rich Hill",4806,448179
"Bobby Miller","LAD",4,1,0,7,7,38.1,8.217391576929227,3.286956630771691,0.46956523296738445,0.2962962962962963,0.6779661,0.49541284,0.0625,99.46184587478638,4.22608709670646,,3.359388189045378,4.061316633018039,0.9693735341723513,"Bobby Miller",27483,676272
"Tyler Anderson","LAA",4,2,0,15,15,79.2,7.117154953712299,3.9539749742846104,1.0167364219589,0.3157894736842105,0.68505338,0.30677291,0.07377049,89.95380157594256,5.196652823345488,,4.573032017591941,5.636323846110409,0.9662381823827572,"Tyler Anderson",12880,542881
"Patrick Corbin","WSN",5,9,0,17,17,96.2,6.144827626621822,2.7000000177580734,1.3965517333231414,0.32710280373831774,0.70542636,0.45317221,0.15151515,91.94443766276042,4.84137934218689,,4.837798990596632,4.51381785371815,0.9416259921178642,"Patrick Corbin",9323,571578
"Michael Lorenzen","DET",2,6,0,14,14,82,6.804878207064331,2.1951220022788163,1.207317101253349,0.27310924369747897,0.69007264,0.40983607,0.12359551,94.75335102696573,4.280487904443692,,4.291625749462067,4.342214849438307,0.9365962588020049,"Michael Lorenzen",14843,547179
"Tanner Houck","BOS",3,6,0,13,13,67.2,8.512315350916024,3.0591133292354464,1.197044346222566,0.28342245989304815,0.64516129,0.4974359,0.16363636,94.09589455344461,5.05418723960639,,4.200853176265518,3.8156464701918535,0.9206784487259667,"Tanner Houck",19879,656557
"Kyle Freeland","COL",4,8,0,17,17,90.1,5.977859925854319,2.8892989641629208,1.4944649814635798,0.2978723404255319,0.68224299,0.39795918,0.12605042,88.72016835212708,4.881918939447694,,5.048398337253366,5.067758397361982,0.9151414188658094,"Kyle Freeland",16256,607536
"Brady Singer","KCR",4,7,0,16,16,82.2,7.620967976384562,3.375000103827449,1.0887097109120802,0.3333333333333333,0.63793103,0.46387833,0.11904762,,5.8790324389252335,,4.4042339432376,4.511672019105009,0.8989848668136998,"Brady Singer",25377,663903
"Kyle Hendricks","CHC",3,3,0,7,7,41.2,4.752000072509767,1.9440000296630864,0.432000006591797,0.22137404580152673,0.6122449,0.40909091,0.03448276,87.62164115905762,2.8080000428466803,,3.615040364990235,5.292506032084896,0.8857027786210895,"Kyle Hendricks",12049,543294
