Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Triston McKenzie","CLE",11,10,0,30,30,188.1,9.0318586510004,2.0070797002223113,1.1946902977513756,0.23717948717948717,0.81081081,0.32786885,0.10504202,92.66881926336376,2.9150443265133568,,3.579687651450413,3.7247916455041334,3.4205482006073,"Triston McKenzie",18000,663474
"Joe Musgrove","SDP",10,7,0,30,30,181,9.149171270718233,2.088397790055249,1.0939226519337018,0.27615062761506276,0.79799107,0.44646465,0.12290503,92.90693759484067,2.9337016574585637,3.27,3.5875691232101694,3.471470356959006,3.361351490020752,"Joe Musgrove",12970,605397
"Gerrit Cole","NYY",13,8,0,33,33,200.2,11.526578657414062,2.2425250306253037,1.4800665202127004,0.2682926829268293,0.78222778,0.42443064,0.16836735,97.77130263545348,3.498339047775474,3.31,3.4662516176063116,2.774320036894379,3.2608120441436768,"Gerrit Cole",13125,543037
"Julio Urías","LAD",17,7,0,31,31,175,8.537142857142857,2.1085714285714285,1.1828571428571428,0.2290748898678414,0.86647727,0.3970276,0.10798122,93.10009689922481,2.16,2.81,3.7124310016632083,3.8056806190524783,3.209125280380249,"Julio Urias",14765,628711
"Merrill Kelly","ARI",13,8,0,33,33,200.1,7.951747290073269,2.740432681889658,0.9434276445849641,0.26887661141804786,0.76271186,0.42754919,0.0990566,92.372259667756,3.3693844449463004,3.62,3.651532512854616,3.855384333200746,3.1773104667663574,"Merrill Kelly",11156,518876
"Logan Gilbert","SEA",13,6,0,32,32,185.2,8.434470839137564,2.3752245466536817,0.9210054364575501,0.2915057915057915,0.77620968,0.36672968,0.09178744,96.14968325092707,3.1992820424314896,4.11,3.4571347907467356,3.777259404081646,3.1352081298828125,"Logan Gilbert",22250,669302
"Ross Stripling","TOR",9,4,0,24,24,123.1,7.297297598237635,1.021621663753269,0.8027027358061398,0.26740947075208915,0.74349442,0.42779292,0.07692308,91.91391153381643,2.9189190392950537,,3.039458025680832,3.596426898104589,3.0991435050964355,"Ross Stripling",13273,548389
"Cristian Javier","HOU",11,8,0,25,25,134.1,11.590571158456775,3.2828785362103003,1.0719603383543839,0.22491349480968859,0.82437276,0.26,0.09356725,93.9573154422254,2.6799008458859594,,3.268758551006556,3.604811924104288,3.043834686279297,"Cristian Javier",17606,664299
"Corey Kluber","TBR",10,10,0,31,31,164,7.628048780487805,1.1524390243902438,1.0975609756097562,0.3166332665330661,0.70165746,0.36078431,0.09345794,89.12317315463362,4.335365853658536,4,3.56974807483394,3.9160837604868703,3.023674249649048,"Corey Kluber",2429,446372
"George Kirby","SEA",8,5,0,25,25,130,9.207692307692307,1.523076923076923,0.9,0.33062330623306235,0.75104312,0.45502646,0.09027778,95.36609014675052,3.3923076923076922,3.31,2.989354078586285,3.3291478798939633,2.9983041286468506,"George Kirby",25436,669923
"Brady Singer","KCR",10,5,0,24,24,147.2,8.776524306632655,2.07223490573271,1.036117452866355,0.29743589743589743,0.80287206,0.485,0.136,92.35774993896484,3.1083523585990656,,3.5526116188940127,3.3091319779323,2.9102907180786133,"Brady Singer",25377,663903
"Drew Rasmussen","TBR",11,7,0,28,28,146,7.705479452054795,1.9109589041095891,0.8013698630136986,0.2621359223300971,0.76023392,0.46555819,0.09027778,95.73544212092732,2.835616438356164,3.46,3.2562666181015643,3.5588227425536068,2.8989098072052,"Drew Rasmussen",25385,656876
"Adam Wainwright","STL",11,12,0,32,32,191.2,6.714782965076371,2.535652308490378,0.7513043877008527,0.3018867924528302,0.75021683,0.43238731,0.08121827,88.11704228624535,3.7095654142729604,4.53,3.66025711769508,4.096602041269963,2.898580551147461,"Adam Wainwright",2233,425794
"Tarik Skubal","DET",7,8,0,21,21,117.2,8.949008691998635,2.4475921208885154,0.688385283999895,0.29874213836477986,0.67524116,0.45679012,0.07894737,94.24077128984064,3.518413673777241,3.31,2.959456494107676,3.3993611386117886,2.8964874744415283,"Tarik Skubal",22267,669373
"Kyle Wright","ATL",21,5,0,30,30,180.1,8.68391891405931,2.64510173819048,0.948244019351304,0.2836438923395445,0.78892372,0.5562249,0.14393939,95.05595721797323,3.194085117814919,3.89,3.5837803680074236,3.2976921602479696,2.8732285499572754,"Kyle Wright",19665,657140
"Pablo López","MIA",10,10,0,32,32,180,8.7,2.65,1.05,0.2833333333333333,0.74231177,0.46092184,0.12650602,93.54571733584739,3.75,3.75,3.7124310016632083,3.5609938964247707,2.852949380874634,"Pablo Lopez",17085,641154
