Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Derek Law","CIN",4,6,2,54,3,55,7.363637640456744,4.254546192263897,0.9818183520608992,0.275,0.77903683,0.39506173,0.10169492,95.66001028232473,3.600000624223297,4.7,4.618676959581653,4.974090720900685,0.29999541491270065,"Derek Law",13133,571882
"Thomas Hatch","- - -",1,1,0,18,2,28.2,8.162791693384799,3.7674423200237532,0.6279070533372922,0.3522727272727273,0.64814815,0.52272727,0.06896552,94.79895610194052,4.081395846692399,4.16,3.708528786907337,4.474128910455305,0.2966831140220165,"Thomas Hatch",19264,641672
"Peter Strzelecki","- - -",3,5,0,37,0,37,9.00000162382413,2.9189194455645824,0.7297298613911456,0.2912621359223301,0.71721311,0.38095238,0.07142857,92.1149531497231,4.378379168346874,4.36,3.9307161570814646,4.75343991811332,0.2947776261717081,"Peter Strzelecki",21367,657265
"Jordan Wicks","CHC",4,1,0,7,7,34.2,6.230769687855771,2.8557694402672285,1.2980770183032857,0.2616822429906542,0.72972973,0.46788991,0.16129032,92.22231657608695,4.413461862231171,4.18,4.697348157611833,4.300826139267007,0.28035515546798706,"Jordan Wicks",30094,696136
"Andre Jackson","- - -",1,3,2,19,7,61.1,8.364130868296565,3.2282610368863933,1.6141305184431967,0.24848484848484848,0.69306931,0.36363636,0.15714286,94.8416260860426,4.989130693369881,5.41,4.9017795752825535,4.457235358380494,0.27999516390264034,"Andre Jackson",21298,656578
"Kody Funderburk","MIN",2,0,0,11,0,12,14.250001132488341,3.7500002980232474,0.7500000596046495,0.23809523809523808,1,0.54545455,0.14285714,,0.7500000596046495,2.46,2.6717069798045654,2.552828826827881,0.2783210873603821,"Kody Funderburk",24993,681892
"Taylor Rogers","SFG",6,4,2,60,0,51.2,11.148390114871395,4.354839888621639,1.0451615732691932,0.2796610169491525,0.68259386,0.41666667,0.12,,3.832259101987042,3.58,3.9131050537776737,4.003445485283178,0.2736110985279083,"Taylor Rogers",13449,573124
"Lane Ramsey","CHW",1,0,0,21,0,20,8.100001544952688,4.050000772476344,0.45000008583070483,0.375,0.64417178,0.375,0.03703704,94.7116022684488,5.850001115799163,3.69,3.4550403976440505,5.037065567224065,0.2695518434047699,"Lane Ramsey",25071,682010
"Tommy Kahnle","NYY",1,3,2,42,0,40.2,10.622951483989246,4.204918295745743,1.1065574462488796,0.22826086956521738,0.82051282,0.48958333,0.14285714,95.44638329221492,2.6557378709973114,2.79,3.9681551581907923,3.792761164966305,0.2675395905971527,"Tommy Kahnle",11384,592454
"Jovani Moran","MIN",2,2,0,43,0,42.1,10.204727474641416,5.740159204485797,0.6377954671650885,0.3018867924528302,0.60553633,0.41904762,0.075,93.36441200657895,5.314962226375738,3.77,3.8219696636438156,4.462932143366591,0.2653631567955017,"Jovani Moran",20422,663558
"Chad Green","TOR",3,0,0,12,0,12,12.000002861023631,3.000000715255908,0.750000178813977,0.3548387096774194,0.4109589,0.28125,0.08333333,95.60593927556818,5.250001251697839,2.84,2.6717068870861995,3.2417254436059997,0.26491665840148926,"Chad Green",15552,643338
"Daniel Palencia","CHC",5,3,0,27,0,28.1,10.482354822918131,4.447059621844056,0.9529413475380119,0.2835820895522388,0.65088757,0.39705882,0.11538462,98.43611550632912,4.447059621844056,3.96,3.9962169631377464,4.136939774377382,0.26287123560905457,"Daniel Palencia",27914,694037
"Joe Mantiply","ARI",2,2,0,35,3,39,6.461539883585684,2.0769235340096843,0.9230771262265263,0.2672413793103448,0.57291667,0.53781513,0.1,90.30914208196825,4.615385631132631,3.82,3.8447840790306844,4.207196214123327,0.26285989582538605,"Joe Mantiply",14857,573009
"Trevor Rogers","MIA",1,2,0,4,4,18,9.5,3,1,0.2857142857142857,0.72072072,0.52,0.10526316,93.37605908890845,4,4.1,4.0883736928304035,4.38913387755553,0.26020893454551697,"Trevor Rogers",22286,669432
"Carlos Hernández","KCR",1,10,4,67,4,70,9.900001079014487,3.9857147201227154,1.2857144258460373,0.287292817679558,0.6375,0.32105263,0.12345679,99.26049700205064,5.271429145968753,4.67,4.2836119001739,4.339633221564878,0.25058627873659134,"Carlos Hernandez",22713,672578
"Carmen Mlodzinski","PIT",3,3,1,35,1,36,8.500001576212009,4.500000834465181,0.7500001390775303,0.2604166666666667,0.77102804,0.47474747,0.1,95.67185201273335,2.2500004172325907,3.96,4.032818281503398,4.327278131065485,0.24707925645634532,"Carmen Mlodzinski",27572,669387
"Sean Reid-Foley","NYM",0,1,0,8,0,7.2,18.782612589672873,7.043479721127328,0,0.3333333333333333,0.7,0.66666667,0,96.11332604644495,3.521739860563664,1.94,1.4289530243899855,2.291571509637242,0.24650393426418304,"Sean Reid-Foley",17034,656887
